,y_pr,y_ac
0,396.2296,362.3576923076923
1,606.97516,591.0
2,468.74884,487.15
3,345.45932,324.0
4,528.12177,525.15
5,479.29858,488.15
6,442.07907,410.0
7,437.27667,440.15
8,631.69775,653.15
9,443.23907,443.15
10,690.3911,702.0
11,510.1749,524.575
12,357.51776,362.15
13,382.9031,374.15
14,510.75958,471.0
15,558.5238,548.075
16,664.1502,723.15
17,659.69794,636.0
18,511.86896,513.15
19,447.97308,447.15
20,666.8716,665.0
21,750.4008,748.15
22,403.96286,397.1499999999999
23,471.35992,483.0
24,829.80383,849.0
25,572.39636,578.075
26,367.87225,360.15
27,439.16495,430.0
28,524.0481,521.15
29,413.46765,413.1020833333333
30,324.5613,321.15
31,511.66904,516.15
32,438.2626,435.15
33,430.26013,412.15
34,680.76276,685.15
35,633.697,663.15
36,507.67606,510.15
37,590.3827,572.15
38,697.7861,704.15
39,664.8441,657.0
40,439.26523,451.575
41,482.81122,482.15
42,595.5759,579.15
43,556.46063,545.0
44,587.2077,578.15
45,426.31436,404.075
46,403.46347,402.5541666666666
47,580.3406,589.0
48,474.8984,493.15
49,333.46362,337.15
50,340.60287,349.15
51,429.51004,432.15
52,556.95013,563.075
53,796.78827,740.0
54,495.43396,489.15
55,520.9052,535.0
56,455.5735,453.15
57,337.86765,338.15
58,627.9713,644.0
59,378.54715,379.15
60,818.67584,806.15
61,340.77533,343.24999849999995
62,567.3617,568.0
63,661.27966,671.0
64,428.64426,412.15
65,619.1472,633.9
66,497.28796,508.15
67,613.3047,614.15
68,371.1026,364.15
69,451.50452,455.15
70,438.85742,440.15
71,558.52936,551.65
72,451.48978,459.15
73,332.09933,323.65
74,367.5254,332.74999849999995
75,500.43866,499.15
76,403.49396,412.15
77,507.3871,508.0
78,521.83563,589.0
79,450.9435,418.15
80,621.5241,621.15
81,472.7728,448.075
82,570.5192,583.15
83,532.3494,527.15
84,348.01645,366.4833333333333
85,415.44238,412.15
86,558.493,806.0
87,319.7786,283.15
88,634.2532,653.0
89,660.27704,663.15
90,532.1823,549.15
91,416.36584,413.15
92,822.9803,820.6
93,664.36426,596.15
94,469.54092,448.5750000000001
95,368.29602,350.15
96,715.90027,720.15
97,418.46976,401.15
98,669.9922,656.15
99,335.12003,376.15
100,368.82806,342.575
101,432.38464,406.15
102,529.1384,536.0
103,414.31155,418.65
104,344.5256,346.15
105,586.21643,591.15
106,400.45688,399.99999999999994
107,799.093,812.0
108,491.16107,480.15
109,492.3757,498.075
110,378.46323,388.15
111,523.3215,523.15
112,389.80942,372.15
113,336.77823,325.65
114,358.4427,355.15
115,680.9053,722.15
116,400.96796,405.1
117,647.0643,642.2900000000001
118,568.8505,723.15
119,471.89572,483.15
120,357.52286,373.13
121,462.26373,425.15
122,663.9234,663.0
123,514.39343,508.075
124,342.38574,342.15
125,551.74316,562.075
126,349.24265,349.15
127,589.30023,608.15
