Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Ti,Tl,Y,Zr,shear_modulus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,5.380000033333332
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,21.0,0.0,0.0,0.0,0.0,4.38000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,17.0,0.0,0.0,0.0,0.0,4.599999966666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,14.0,0.0,0.0,0.0,0.0,4.1599999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,6.8,0.0,0.0,0.0,0.0,3.8900000500000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66527270909091
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3400002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,3.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,53.99,0.0,40.01,0.0,0.0,0.0,0.0,6.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,63.03,0.0,29.97,0.0,0.0,0.0,0.0,6.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,72.0,0.0,20.0,0.0,0.0,0.0,0.0,5.4899998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,81.01,0.0,9.99,0.0,0.0,0.0,0.0,4.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43,0.0,0.0,68.57,0.0,20.0,0.0,0.0,0.0,0.0,5.8099999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,48.02,0.0,39.98,0.0,0.0,0.0,0.0,6.5900002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.01,0.0,0.0,56.02,0.0,29.97,0.0,0.0,0.0,0.0,6.5100002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,4.150000100000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,64.0,0.0,20.0,0.0,0.0,0.0,0.0,5.9699998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0,42.88,0.0,39.97,0.0,0.0,0.0,0.0,5.75
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.02,0.0,0.0,72.07,0.0,9.91,0.0,0.0,0.0,0.0,5.0500002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.0,5.71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,4.43499995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88,0.0,0.0,57.21,0.0,19.91,0.0,0.0,0.0,0.0,5.6399999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.64,0.0,0.0,64.1,0.0,10.26,0.0,0.0,0.0,0.0,4.9499998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.01,0.0,0.0,42.02,0.0,29.97,0.0,0.0,0.0,0.0,5.0700002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,4.4400001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,4.2800002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.95,0.0,0.0,47.92,0.0,20.13,0.0,0.0,0.0,0.0,4.619999900000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3200002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.97,0.0,0.0,53.96,0.0,10.07,0.0,0.0,0.0,0.0,4.3899999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.02,0.0,0.0,57.03,0.0,4.94,0.0,0.0,0.0,0.0,4.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17499995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.76666666666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,3.8699999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,3.3,56.0,0.0,37.4,0.0,0.0,0.0,0.0,5.780000066666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,3.3,93.4,0.0,0.0,0.0,0.0,0.0,0.0,4.119999966666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,96.25,0.0,0.0,0.0,0.0,0.0,0.0,3.96
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,9.52,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,4.5999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9075000500000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7740002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.828000099999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,0.0,27.03,0.0,0.0,67.57,0.0,0.0,0.0,0.0,0.0,0.0,4.8000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.66,0.0,18.87,0.0,0.0,75.47,0.0,0.0,0.0,0.0,0.0,0.0,4.9000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,4.190000100000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,0.0,27.03,66.67,0.0,0.0,0.0,0.0,0.0,0.0,7.0900002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,0.0,16.68,45.95,0.0,30.67,0.0,0.0,0.0,0.0,8.550000066666668
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.69,0.0,0.0,0.0,16.68,76.62,0.0,0.0,0.0,0.0,0.0,0.0,6.940000033333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,52.0,0.0,34.6,0.0,0.0,0.0,0.0,6.63000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,86.59999999999998,0.0,0.0,0.0,0.0,0.0,0.0,5.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,6.7,86.6,0.0,0.0,0.0,0.0,0.0,0.0,5.5999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,26.7,66.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8199999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,92.5,0.0,0.0,0.0,0.0,0.0,0.0,4.2399998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,10.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,5.764999850000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,15.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,6.3639998
