As,B,Ga,Ge,Na,P,Pb,S,Sb,Se,Te,Tl,TEC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,0.0,447.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,443.1323547
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,15.0,0.0,475.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,0.0,112.9019623
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,475.95773315
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,95.0,0.0,0.0,250.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,90.0,0.0,0.0,412.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,75.0,0.0,0.0,355.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,65.0,0.0,0.0,373.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,467.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,145.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,0.0,514.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,20.0,0.0,0.0,532.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,0.0,0.0,544.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,5.0,0.0,0.0,487.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,633.333313
0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,280.0
0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,95.0,0.0,0.0,400.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,53.99,40.01,0.0,349.0
0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,54.0,40.0,0.0,349.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,63.0,30.0,0.0,355.0
0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,63.03,29.97,0.0,355.0
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,72.0,20.0,0.0,370.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,81.0,10.0,0.0,382.0
