As,Ge,In,Pb,S,Sb,Se,Te,thermal_conductivity
0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,2200000000.0
0.0,0.0,0.0,0.0,0.0,0.0,91.0,9.0,10800000000.0
0.0,0.0,0.0,0.0,0.0,0.0,92.5,7.5,17100000000.0
0.0,0.0,0.0,0.0,0.0,0.0,92.6,7.4,36400001000.00001
0.0,0.0,0.0,0.0,0.0,0.0,95.0,5.0,23000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,95.24,4.76,96199999000.00002
0.0,0.0,0.0,0.0,0.0,0.0,97.5,2.5,25099999999.999996
0.0,0.0,0.0,0.0,0.0,0.0,98.0,2.0,33399998999.999996
0.0,0.0,0.0,0.0,0.0,0.0,99.13,0.0,11399999999.999998
0.0,0.0,0.0,0.0,0.0,0.0,99.21,0.0,11000000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.3,0.0,4560000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.42,0.0,9790000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.45,0.0,8410000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.52,0.0,9450000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.65,0.0,4350000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.67,0.0,9160000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.72,0.0,8320000000.000001
0.0,0.0,0.0,0.0,0.0,0.0,99.75,0.0,8360000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.85,0.0,8820000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.93,0.0,6270000000.0
0.0,0.0,0.0,0.0,0.0,0.0,99.98,0.0,7400000000.0
0.0,0.0,0.0,0.0,0.0,2.0,83.0,15.0,1620000000.0
0.0,0.0,0.0,0.0,0.0,4.0,81.0,15.0,1813333333.3333333
0.0,0.0,0.0,0.0,0.0,6.0,79.0,15.0,1679999999.9999998
0.0,0.0,0.0,0.0,0.0,8.0,77.0,15.0,1715000000.0
0.0,0.0,0.0,0.0,0.0,10.0,75.0,15.0,1719999999.9999998
0.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,2900000000.0
0.0,0.0,0.0,0.0,2.99,0.0,97.01,0.0,71100000999.99998
0.0,0.0,0.0,0.0,4.26,0.0,95.74,0.0,167000008000.00003
0.0,0.0,2.0,0.0,0.0,0.0,80.0,18.0,1650000000.0
0.0,0.0,3.49,0.0,0.0,0.0,96.51,0.0,3700000000.0
0.0,0.0,4.0,0.0,0.0,0.0,80.0,16.0,1760000000.0000002
0.0,0.0,5.0,0.0,0.0,0.0,95.0,0.0,3820000000.0
0.0,0.0,5.0,15.0,0.0,0.0,80.0,0.0,2530000000.0
0.0,0.0,6.0,0.0,0.0,0.0,80.0,14.0,1830000000.0
0.0,0.0,7.1,0.0,0.0,0.0,92.9,0.0,7100000000.0
0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,7150000000.0
0.0,0.0,10.0,10.0,0.0,0.0,80.0,0.0,1840000000.0
0.0,0.0,10.0,15.0,0.0,0.0,75.0,0.0,2860000000.0000005
0.0,0.0,10.82,0.0,0.0,0.0,89.18,0.0,6500000000.0
0.0,0.0,14.67,0.0,0.0,0.0,85.33,0.0,5600000000.000001
0.0,0.0,15.0,0.0,0.0,0.0,85.0,0.0,6200000000.0
0.0,0.0,15.0,5.0,0.0,0.0,80.0,0.0,1710000000.0000002
